db.CashIncentiveCategory	22742.770	11084.374
db.CashIncentiveItem	30057.805	10095.774
db.CashPayment	29115.657	19958.833
db.CeoAddressChangeEvent	33889.340	14357.340
db.CeoConfirmationDocument	29600.778	32241.745
db.CeoTypeChangedCeoResidentRegistrationDocument	29894.616	32849.245
db.CertificateOfCorporateSealDocument	28016.530	32536.351
db.CertificateOfSealNotarizationPoaDocument	31404.047	32254.454
db.Charge	27732.459	19979.752
db.CmeBulkEmail	31052.610	12442.790
db.CmeBulkEmailRecipient	29727.306	11971.520
db.CmeBulkEmailTemplate	31467.000	12773.090
db.CmeCompany	27926.190	11050.268
db.CmeCompanyContact	27358.870	12032.890
db.CmeCompanyContactNotificationSettings	27446.549	11186.086
db.CmeCompanyDirectorTermManagement	29723.125	11646.537
db.CmeCompanyNote	27910.990	11643.867
db.CmeCompanyRegistration	30401.510	12773.090
db.CmeCompanyRegistrationFile	30788.080	12662.490
db.CmeContact	29773.473	12090.367
db.CmeMemberRelation	31226.670	12624.900
db.CoCeoSystemChangeEvent	78301.448	38.000
db.CommonAddress	76803.017	144.000
db.Company	13865.314	11618.185
db.CompanyAddressChangeEvent	50533.835	20133.971
db.CompanyAppointedTransferAgentChange	12479.440	13774.296
db.CompanyAuthorizedSharesChange	10415.858	14763.893
db.CompanyBenefit	11863.928	13670.950
db.CompanyBulkEmailTemplate	12594.596	12590.636
db.CompanyCreateAssignmentReadiness	13808.012	14733.428
db.CompanyCreateProgress	34983.600	18830.770
db.CompanyCreateRequest	33952.555	18554.502
db.CompanyDepartment	29698.590	10031.950
db.CompanyDepartmentCode	29484.089	9908.114
db.CompanyDocumentDelivery	10787.383	13969.394
db.CompanyEndorsement	12618.920	14354.859
db.CompanyEndorsementFeed	11461.540	16190.360
db.CompanyExpertClientRelation	19481.921	12543.541
db.CompanyFeed	16535.970	21659.560
db.CompanyFeedAccessLog	16573.970	24989.780
db.CompanyFeedRating	17388.360	21659.560
db.CompanyGuideState	13993.477	13188.089
db.CompanyInvestmentContractInfo	11639.850	14179.532
db.CompanyInvestorInterest	14139.780	19193.371
db.CompanyInvitation	11847.744	13909.450
db.CompanyIrClosingFeed	15510.481	30763.848
db.CompanyIrNewCommitFeed	16063.921	31145.374
db.CompanyIrOpenFeed	15586.319	31216.206
db.CompanyIrSetting	10464.334	14031.295
db.CompanyLegalPartnerRelation	23474.530	15434.565
db.CompanyManagementAssignment	13925.854	13308.868
db.CompanyManagingEntity	31141.114	12773.086
db.CompanyMethodOfGivingPublicNoticeChange	24966.030	19746.290
db.CompanyMnaSetting	10847.617	14713.774
db.CompanyNameChange	10770.287	14318.689
db.CompanyNews	13605.819	9423.399
db.CompanyNewsFeed	11623.200	6903.900
db.CompanyNewsLink	11464.650	5927.150
db.CompanyNotificationSetting	17036.744	9853.745
db.CompanyNotificationTrigger	19117.104	7667.051
db.CompanyOptionRule	11698.290	14683.765
db.CompanyOverview	10892.817	13403.333
db.CompanyOwnerAddRequest	14650.737	13825.723
db.CompanyOwnerAuditLog	16577.970	17100.720
db.CompanyOwnerAuditLogOwnerRoleRelation	16625.970	19204.050
db.CompanyOwnerNotificationTrigger	19878.045	6868.836
db.CompanyParValueChange	20918.752	16333.471
db.CompanyPaymentLink	12521.776	13484.858
db.CompanyPolicyFile	11660.436	12825.036
db.CompanyProfileAccessLog	14139.780	19315.371
db.CompanyPromotionInfo	14146.800	6903.900
db.CompanyPromotionPrizeType	14736.030	5927.150
db.CompanyPromotionWinLog	14631.735	6996.396
db.CompanyPurposeChange	16625.970	13257.880
db.CompanyPurposeChangeItem	20796.000	16502.085
db.CompanyQuestionThread	30816.037	16147.802
db.CompanyRegistrationAssignment	9275.989	15772.439
db.CompanyRegistrationAssignmentLog	12516.139	13163.588
db.CompanyRegistrationStaffStatus	77170.703	144.000
db.CompanyRsuRule	20918.752	16211.471
db.CompanyStockTransferRestrictedChange	9458.571	14745.491
db.CompanyStockValue	11229.237	14633.676
db.CompanyTag	8867.178	13953.266
db.CompanyTanTableView	12892.096	13384.276
db.CompanyTodo	10678.793	13825.409
db.CompanyUpdateRequest	24401.233	14520.922
db.CompanyUserRelation	19305.784	19855.565
db.CompanyUserRelationOwnerRoleRelation	18549.025	19780.419
db.ConsentForm	49084.865	44488.524
db.ConsentFormItem	49057.822	44662.696
db.ConsentFormModusignDocument	49870.096	45803.815
db.ConsentFormModusignEmbeddedDraft	49449.220	44488.520
db.ConsentFormOptionItem	77424.390	144.000
db.CorporateRegistration	28491.140	18041.970
db.CorporateRegistrationChangeConfirmation	29389.192	15972.291
db.CorporateRegistrationChangeDetection	27962.347	15743.296
db.CorporateRegistrationChangeDetectionParseResult	28463.860	15743.300
db.CorporateRegistrationDocument	29965.510	31782.912
db.CorporateRegistrationExtractionLog	30761.369	16985.491
db.CorporateRegistrationIssueCoupon	21510.237	15829.080
db.CorporateRegistrationIssueCouponIssueLog	20079.190	14979.740
db.CorporateRegistrationIssueCouponUseRequest	20630.153	14727.767
db.CorporateRegistrationIssueCouponUseResult	25774.970	16797.430
db.CorporateRegistrationIssueLog	28537.021	16328.251
db.CorporateRegistrationIssueMaintenance	9643.951	58268.470
db.CorporateRegistrationIssueRequest	24428.080	16308.080
db.CorporateRegistrationPaidIssue	21555.015	15707.080
db.CorporationPostRegistrationEmail	19648.959	8065.214
db.CorporationPostRegistrationScheduledEmail	18907.649	9587.947
db.CorporationPostRegistrationScheduledEmailPeriodicTaskRelation	21918.584	6563.946
db.Credit	27224.920	19490.922
db.CreditCard	28760.720	20455.610
db.CreditUse	27910.040	19742.326
db.CsAgentResponse	24086.698	21866.329
db.CsAgentResponseFeedBack	22372.220	20515.880
db.CustomOptionGrantContractTemplate	77762.076	144.000
db.CustomOptionGrantContractTemplateRevision	78051.762	144.000
db.DailyNewspaper	28016.590	22890.198
db.DataPortalAddressInformationCache	78341.448	144.000
db.DebtConfirmationAndOffsetContractDocument	34739.066	31774.241
db.DemoCompanyCreationLog	76849.017	250.000
db.Department	10133.951	58268.470
db.DepartmentStaffUserRelation	10756.705	59236.052
db.Director	35338.014	14820.598
db.DirectorAppointmentEvent	35018.980	14906.080
db.DirectorCompensationDecisionEvent	36073.640	15556.230
db.DirectorCompensationLimitEvent	35845.090	15698.870
db.DirectorDecisionDocument	31533.448	31415.395
db.DirectorResidentRegistrationWithAddressChangeHistoryDocument	28745.274	31531.753
db.DirectorTermEndEvent	35229.282	15012.070
db.DirectorVote	33706.524	27796.572
db.DirectorVotingRightsPerAgenda	33706.524	27674.572
db.DirectorsMeeting	33627.210	26470.932
db.DirectorsMeetingAgenda	34611.436	28249.736
db.DirectorsMeetingDirectorAttendance	32801.612	27221.408
db.DirectorsMeetingMinutesDocument	28000.692	31571.867
db.DirectorsMeetingNoticeDocument	33397.479	32721.046
db.DirectorsMeetingNoticeEmail	34105.938	27412.770
db.DirectorsMeetingNoticeEmailRecipient	33388.891	27339.103
db.DirectorsMeetingSkipNoticeDocument	30648.631	32761.829
db.DivaFund	77092.703	250.000
db.DocumentDelivery	25612.154	18550.984
db.DocumentDeliveryQuestionThreadRelation	27262.700	20626.760
db.DocumentLoadedPdfEvent	77428.390	250.000
db.DocumentParseResult	28037.620	12726.730
db.DormantConversionNotifiedActivity	77762.076	250.000
db.DormantUser	75065.955	46834.369
db.DormantUserEmail	74807.955	46874.084
db.DormantUserPhone	76305.017	46292.904
db.DormantUserReactivationToken	75339.091	46059.815
db.ESOP	23504.521	30955.820
db.ESOPParticipant	24400.760	30069.808
db.EditableCompanyOwnerAuditLog	13429.297	14370.970
db.ElectronicCertificate	33943.635	13547.350
db.ElectronicCertificateApplicationFormDocument	27664.096	31933.225
db.ElectronicCertificateCaseReportDocument	30222.180	32495.661
db.ElectronicCertificateFileDownloadHistory	42672.540	11000.220
db.ElectronicCertificateFileUploadRequest	38264.000	12916.490
db.ElectronicCertificateFileUploaded	39812.770	10233.950
